base_symbol,shortName,open_BA,bid_BA,ask_BA,open_D_BA,bid_D_BA,ask_D_BA,volume_BA,volume_D_BA,MEP,USD/ARS ask,USD/ARS bid
NOKA,,2900.0,2651.5,2700.0,,,,92.0,,,,
NTCO,,5124.0,4000.0,4316.5,,,,0.0,,,,
NTES,,6405.5,6227.0,6360.0,,,,38.0,,,,
NUE,,7650.0,7344.5,7681.5,,,,37.0,,,,
ORAN,,10079.0,9529.5,9679.0,,,,16.0,,,,
ORCL,,29800.0,28104.0,28500.0,,,,175.0,,,,
PANW,,4260.5,4092.5,4159.0,,,,414.0,,,,
PBI,,3422.5,2665.5,3239.0,,,,0.0,,,,
PHG,,3123.5,3022.5,3100.0,,,,71.0,,,,
PKS,,22000.0,22436.0,23120.0,,,,198.0,,,,
RTX,,13000.0,12100.0,12501.0,,,,134.0,,,,
SAN,,12909.0,12000.0,12185.5,,,,17.0,,,,
SAP,,21690.0,18160.0,18464.5,,,,0.0,,,,
SBS,,24065.0,19851.5,20355.0,,,,0.0,,,,
SBUX,,21840.0,19568.5,19969.5,,,,187.0,,,,
SCCO,,32161.5,29588.0,29980.0,,,,2.0,,,,
SHEL,,29000.0,27727.0,28191.5,,,,181.0,,,,
SLB,,16495.0,15344.5,15905.0,,,,25.0,,,,
SMSN,,0.0,1.0,0.0,,,,0.0,,,,
SNA,,35679.5,32401.0,35690.0,,,,6.0,,,,
SNAP,,8899.0,7770.0,7861.5,,,,308.0,,,,
SONY,,19461.0,16909.5,19580.0,,,,79.0,,,,
SUZ,,10850.0,8750.0,8880.0,,,,0.0,,,,
SYY,,6950.0,6801.0,6919.0,,,,47.0,,,,
TCOM,,15939.0,14274.5,14654.0,,,,0.0,,,,
TEFOF,,420.0,395.0,396.0,,,,1509.0,,,,
TGT,,4000.0,3850.0,3910.0,,,,788.0,,,,
TIMB,,13720.5,12698.5,12896.0,,,,1.0,,,,
TMO,,16251.0,16056.0,16472.5,,,,233.0,,,,
TRIP,,6500.0,6110.0,6178.0,,,,144.0,,,,
TSM,,9050.0,8155.0,8242.5,,,,2054.0,,,,
TTE,,18509.5,18114.5,18544.0,,,,3.0,,,,
TV,,716.0,649.5,667.5,,,,189.0,,,,
UAL,,6417.0,5816.0,5894.0,,,,103.0,,,,
UGP,,3447.5,3317.0,3380.0,,,,52.0,,,,
UL,,14000.0,12331.5,13456.0,,,,101.0,,,,
UPST,,4050.0,3701.0,4700.0,,,,1373.0,,,,
USB,,5424.0,5113.0,5189.0,,,,49.0,,,,
VIV,,8362.0,7541.5,7756.5,,,,0.0,,,,
VOD,,7600.0,7460.0,7650.0,,,,115.0,,,,
VRSN,,32300.0,28645.0,29060.5,,,,0.0,,,,
WBO,,1792.0,1649.0,1683.0,,,,331.0,,,,
XP,,4400.0,3885.0,4970.0,,,,312.0,,,,
XRX,,12012.0,10128.0,14062.0,,,,0.0,,,,
YELP,,21050.0,17424.0,21050.0,,,,0.0,,,,
YY,,6500.0,6471.5,6638.5,,,,17.0,,,,
