	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	BKD	-	-	48hs.	-	-	-	-	-	9,900	-	-	-	-		
	BMY	16.800,000	4,34	48hs.	2	16.010,500	16.800,000	2	-	16.100,000	15.900,000	16.905,000	920.466	18	15:43:27	
	BMYB	-	-	48hs.	-	-	-	-	-	10.250,000	-	-	-	-		
	BMYC	-	-	48hs.	-	-	-	-	-	22,350	-	-	-	-		
	BMYD	-	-	48hs.	10	14,250	-	-	-	18,100	-	-	-	-		
	BNG	20.500,000	1,99	48hs.	16	20.000,000	20.500,000	16	-	20.100,000	19.310,000	22.222,000	2.720.421	32	15:43:54	
	BNGB	-	-	48hs.	-	-	-	-	-	13.385,000	-	-	-	-		
	BNGC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	BNGD	-	-	48hs.	4	19,400	-	-	-	19,400	-	-	-	-		
	BP	6.600,000	'0,69	48hs.	4	6.600,000	6.820,000	1	-	6.554,500	6.470,000	6.850,000	2.124.612	36	15:31:05	
	BPC	-	-	48hs.	-	-	-	-	-	6,723	-	-	-	-		
	BPD	-	-	48hs.	-	-	8,700	41	-	7,650	-	-	-	-		
	BRFS	8.200,000	2,53	48hs.	4	8.150,000	8.195,000	20	-	7.997,000	7.641,000	8.320,000	1.645.194	60	15:23:01	
	BRFSC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	BRFSD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	BRKB	15.900,000	'0,39	48hs.	78	15.899,500	15.900,000	464	-	15.838,000	14.500,000	16.755,000	165.187.780	665	15:45:42	
	BRKBB	-	-	48hs.	-	-	-	-	-	14.144,000	-	-	-	-		
	BRKBC	-	-	48hs.	-	-	-	-	-	14,450	-	-	-	-		
	BRKBD	16,200	-0,30	48hs.	14	16,050	16,350	30	-	16,250	15,950	17,400	8.225	45	15:28:28	
	BSBR	5.850,000	-0,84	48hs.	20	5.555,000	5.850,000	34	-	5.900,000	5.490,000	5.901,000	423.586	15	15:27:35	
	BSN	-	-	48hs.	-	-	-	-	-	613,313	-	-	-	-		
	BSN.B	-	-	48hs.	-	-	-	-	-	654,000	-	-	-	-		
	BSNC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	C	14.095,500	1,65	48hs.	16	14.095,500	14.150,500	5	-	13.866,000	13.451,000	14.439,000	29.224.665	185	15:45:10	
	C...B	-	-	48hs.	-	-	-	-	-	7.740,000	-	-	-	-		
	C.D	13,800	-1,42	48hs.	25	13,850	15,700	76	-	14,000	13,800	14,000	98	3	12:34:38	
	CAAP	48.500,000	3,41	48hs.	20	47.500,000	49.999,000	4	-	46.900,000	44.556,000	49.999,500	1.621.087	14	15:45:53	
	CAAPC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	CAAPD	-	-	48hs.	-	-	-	-	-	27,000	-	-	-	-		
	CAH	29.600,000	-0,33	48hs.	1	29.858,500	-	-	-	29.700,000	29.541,000	29.858,500	89.000	3	12:47:11	
	CAHC	-	-	48hs.	-	-	-	-	-	12,500	-	-	-	-		
	CAHD	-	-	48hs.	-	-	30,900	2	-	16,606	-	-	-	-		
	CAR	6.500,000	6,10	48hs.	33	6.500,000	7.076,500	10	-	6.126,000	6.500,000	6.500,000	91.000	4	15:17:16	
	CAR.C	-	-	48hs.	-	-	-	-	-	'0,515	-	-	-	-		
	CAT	11.128,500	-0,81	48hs.	1	11.140,000	11.499,000	26	-	11.220,500	11.100,000	11.500,000	15.112.915	242	15:46:03	
	CAT.B	-	-	48hs.	-	-	-	-	-	4.808,000	-	-	-	-		
	CATC	-	-	48hs.	-	-	-	-	-	10,331	-	-	-	-		
	CATD	11,750	-3,68	48hs.	15	11,750	13,450	1	-	12,200	11,750	12,000	189	3	14:48:13	
	CBRD	680,500	5,01	48hs.	200	635,000	680,000	182	-	648,000	595,500	700,000	741.222	46	15:30:25	
	CBRDC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	CBRDD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	CC	-	-	48hs.	-	-	-	-	-	12,112	-	-	-	-		
	CDE	2.540,000	1,80	48hs.	52	2.476,000	2.538,000	20	-	2.495,000	2.470,000	2.600,000	1.412.035	38	15:14:25	
	CL	25.000,000	'0,40	48hs.	14	22.600,000	25.000,000	1	-	24.900,000	24.334,000	25.000,000	444.542	10	15:07:56	
	CLC	-	-	48hs.	-	-	-	-	-	6,461	-	-	-	-		
	CLD	-	-	48hs.	1	22,750	28,000	3	-	24,840	-	-	-	-		
	COIN	3.838,000	2,41	48hs.	100	3.823,000	3.838,000	433	-	3.747,500	3.750,000	3.850,000	25.463.366	365	15:46:15	
	COINB	-	-	48hs.	-	-	-	-	-	429,000	-	-	-	-		
	COINC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	COIND	3,900	5,40	48hs.	5	3,850	3,900	1.355	-	3,700	3,850	3,900	2.140	13	15:43:03	
	COST	11.600,000	'0,43	48hs.	29	11.580,000	11.750,000	5	-	11.550,000	11.580,000	11.750,000	616.480	12	15:22:24	
	COSTB	-	-	48hs.	-	-	-	-	-	12.860,500	-	-	-	-		
	COSTC	-	-	48hs.	-	-	-	-	-	11,762	-	-	-	-		
	COSTD	-	-	48hs.	5	9,500	-	-	-	12,000	-	-	-	-		
	CRM	11.201,000	'0,16	48hs.	5	11.201,000	11.570,000	3	-	11.182,500	10.890,000	11.695,500	4.247.180	98	15:46:15	
	CRMB	-	-	48hs.	-	-	-	-	-	6.698,500	-	-	-	-		
	CRMC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	CRMD	11,250	-3,84	48hs.	-	-	14,000	14	-	11,700	11,250	11,250	23	1	12:02:07	
