symbol_x,open_x,dayMax_x,dayMin_x,close_x,volume_x,exchange_x,bidSize_x,bid_x,ask_x,askSize_x,settlementPeriod_x,base_symbol_x,ratio_x,aux_x,type_x,currency_x,volume_norm_x,can_use_x,symbol_y,open_y,dayMax_y,dayMin_y,close_y,volume_y,exchange_y,bidSize_y,bid_y,ask_y,askSize_y,settlementPeriod_y,base_symbol_y,ratio_y,aux_y,type_y,currency_y,volume_norm_y,can_use_y,x/y mid,x/y ask,x/y bid,vol_value_x,vol_value_y,spread_x,spread_y,max_spread,base_symbol,short_name
EA,9770.0,10090.0,9546.0,10079.5,639.0,BUE,160.0,9952.0,10080.0,160.0,48,EA,14.0,A,base,ARS,0.10938588261788765,0,EAD,10.0,10.0,10.0,10.0,13.0,BUE,2.0,8.5,11.0,49.0,48,EA,14.0,D,dolar,USD,0.10938588261788765,0,977.0,1185.8823529411766,904.7272727272727,6243030.0,130.0,0.012779552715654952,0.2564102564102564,0.2564102564102564,EA,Electronic Arts Inc.
EBAY,21947.0,22714.5,21431.5,22660.0,133.0,BUE,60.0,22600.5,22824.0,60.0,48,EBAY,2.0,Y,base,ARS,0.09001739104318872,0,EBAYD,22.1,22.1,22.1,22.1,0.0,BUE,35.0,21.0,22.45,21.0,48,EBAY,2.0,D,dolar,USD,0.09001739104318872,0,993.076923076923,1086.857142857143,1006.7037861915368,2918951.0,0.0,0.009840504573523099,0.06674338319907937,0.06674338319907937,EBAY,Ebay
EEM,7900.0,8224.0,7627.0,8180.0,7063.0,BUE,5.0,8155.0,8211.5,180.0,48,EEM,5.0,M,base,ARS,8.10481774571653,1,EEMD,8.95,8.95,8.8,8.9,129.0,BUE,10.0,8.1,8.9,152.0,48,EEM,5.0,D,dolar,USD,8.10481774571653,1,882.6815642458101,1013.7654320987655,916.2921348314607,55797700.0,1154.55,0.006904347294778969,0.09411764705882361,0.09411764705882361,EEM,Etf Ishares Msci Emerging Market
ERJ,17600.0,18291.5,17376.5,18269.0,586.0,BUE,100.0,18000.5,18268.5,100.0,48,ERJ,1.0,J,base,ARS,0.27754946114316636,0,ERJD,19.6,19.6,19.5,19.5,0.0,BUE,2.0,15.5,18.95,30.0,48,ERJ,1.0,D,dolar,USD,0.27754946114316636,0,897.9591836734693,1178.6129032258063,949.8944591029024,10313600.0,0.0,0.014778460944608343,0.2002902757619738,0.2002902757619738,ERJ,Embraer S.a.
ETSY,5010.0,5056.5,4810.0,4996.0,2779.0,BUE,300.0,4996.5,5068.0,300.0,48,ETSY,16.0,Y,base,ARS,0.21897168567919884,0,ETSYD,5.5,5.6,5.5,5.58,0.0,BUE,2.0,5.1,5.39,20.0,48,ETSY,16.0,D,dolar,USD,0.21897168567919884,0,910.9090909090909,993.7254901960785,926.9944341372914,13922790.0,0.0,0.01420835610313478,0.05529075309818877,0.05529075309818877,ETSY,Etsy Inc.
EWZ,17200.0,17945.5,16955.0,17864.5,11281.0,BUE,700.0,17802.0,17898.0,699.0,48,EWZ,2.0,Z,base,ARS,13.090428788417208,1,EWZD,17.25,19.8,17.25,19.8,166.0,BUE,18.0,17.55,19.8,3.0,48,EWZ,2.0,D,dolar,USD,13.090428788417208,1,997.1014492753624,1019.8290598290598,899.090909090909,194033200.0,2863.5,0.005378151260504202,0.12048192771084337,0.12048192771084337,EWZ,Etf Ishares Msci Brazil
F,11920.0,12349.5,11662.5,12202.5,4441.0,BUE,130.0,12203.0,12302.0,130.0,48,F,1.0,F,base,ARS,0.7670486059291926,1,FD,12.0,12.45,11.9,12.2,28.0,BUE,52.0,11.5,12.2,8.0,48,F,1.0,D,dolar,USD,0.7670486059291926,1,993.3333333333334,1069.7391304347825,1000.2459016393443,52936720.0,336.0,0.008079983676800653,0.05907172995780585,0.05907172995780585,F,Ford Motor Company
FDX,25140.0,25633.0,24600.0,25529.0,456.0,BUE,3.0,25675.0,25823.5,67.0,48,FDX,10.0,X,base,ARS,0.6432055804761313,0,FDXD,25.0,25.0,25.0,25.0,0.0,BUE,1.0,24.0,25.2,9.0,48,FDX,10.0,D,dolar,USD,0.6432055804761313,0,1005.6,1075.9791666666667,1018.8492063492064,11463840.0,0.0,0.005767158266745633,0.048780487804878016,0.048780487804878016,FDX,Fedex
GE,15600.0,15999.0,15000.0,15900.0,1183.0,BUE,3200.0,15880.5,15999.0,24.0,48,GE,8.0,E,base,ARS,1.795195120204315,1,GED,17.6,18.1,17.5,17.5,15.0,BUE,16.0,15.2,17.5,19.0,48,GE,8.0,D,dolar,USD,1.795195120204315,1,886.3636363636363,1052.5657894736842,907.4571428571429,18454800.0,264.0,0.007434244577236155,0.14067278287461776,0.14067278287461776,GE,General Electric
GLOB,12944.0,13000.0,12316.0,12824.0,5927.0,BUE,8.0,12770.0,12810.0,8.0,48,GLOB,18.0,B,B,ARS,2.1084562073250988,1,GLOBD,13.1,13.75,12.4,12.5,65.0,BUE,2.0,12.5,13.0,144.0,48,GLOB,18.0,D,dolar,USD,2.1084562073250988,1,988.0916030534352,1024.8,982.3076923076923,76719088.0,851.5,0.003127443315089914,0.0392156862745098,0.0392156862745098,GLOB,Globant
