simbolo,puntas,ultimoPrecio,variacionPorcentual,apertura,maximo,minimo,ultimoCierre,volumen,cantidadOperaciones,fecha,tipoOpcion,precioEjercicio,fechaVencimiento,mercado,moneda,descripcion,plazo,laminaMinima,lote
METAC,,28.0,0.0,28.0,28.0,28.0,28.0,0.0,0.0,2023-12-29T03:00:19.56,,,,1,2,Meta Platforms Inc,T2,1,1
METAD,"{'cantidadCompra': 1.0, 'precioCompra': 14.25, 'precioVenta': 15.05, 'cantidadVenta': 11.0}",14.8,-0.33,14.85,15.25,14.45,14.8,369.0,55.0,2023-12-29T13:23:31.237,,,,1,2,Meta Platforms Inc,T2,1,1
MMC,"{'cantidadCompra': 145.0, 'precioCompra': 11211.0, 'precioVenta': 11340.5, 'cantidadVenta': 140.0}",11260.5,-0.42,11300.0,11300.0,11200.0,11260.5,84.0,4.0,2023-12-29T12:53:04.477,,,,1,1,Marsh & McLennan,T2,1,1
MMM,"{'cantidadCompra': 12.0, 'precioCompra': 20701.0, 'precioVenta': 20802.0, 'cantidadVenta': 1600.0}",20803.5,0.52,21300.0,22000.0,20500.0,20803.5,330.0,99.0,2023-12-29T13:43:27.127,,,,1,1,3M,T2,1,1
MMMD,"{'cantidadCompra': 46.0, 'precioCompra': 21.3, 'precioVenta': 22.9, 'cantidadVenta': 20.0}",21.5,-2.27,21.5,22.5,21.5,21.5,13.0,7.0,2023-12-29T12:20:57.587,,,,1,2,3M,T2,1,1
MO,"{'cantidadCompra': 2.0, 'precioCompra': 9622.0, 'precioVenta': 9625.0, 'cantidadVenta': 2800.0}",9625.0,1.42,9490.0,10246.0,9373.5,9625.0,2224.0,314.0,2023-12-29T13:46:01.74,,,,1,1,Altria Group,T2,1,1
MOD,"{'cantidadCompra': 4.0, 'precioCompra': 9.6, 'precioVenta': 10.7, 'cantidadVenta': 122.0}",10.4,0.97,10.1,10.4,10.1,10.4,65.0,9.0,2023-12-29T13:24:11.23,,,,1,2,Altria Group,T2,1,1
MOS,"{'cantidadCompra': 180.0, 'precioCompra': 6752.5, 'precioVenta': 6828.5, 'cantidadVenta': 3200.0}",6752.0,-2.0,7000.0,7093.0,6620.0,6752.0,95.0,10.0,2023-12-29T13:34:35.133,,,,1,1,The Mosaic Co,T2,1,1
MOSD,"{'cantidadCompra': 0.0, 'precioCompra': 0.0, 'precioVenta': 9.0, 'cantidadVenta': 29.0}",8.8,0.0,8.8,8.8,8.8,8.8,0.0,0.0,2023-12-29T03:00:05.653,,,,1,2,The Mosaic Co,T2,1,1
MRK,"{'cantidadCompra': 1500.0, 'precioCompra': 20584.0, 'precioVenta': 20822.5, 'cantidadVenta': 1500.0}",20945.5,1.66,21000.0,21493.0,20038.0,20945.5,62.0,20.0,2023-12-29T13:26:53.863,,,,1,1,Merck,T2,1,1
MRKD,"{'cantidadCompra': 10.0, 'precioCompra': 19.95, 'precioVenta': 21.6, 'cantidadVenta': 1.0}",21.6,4.34,21.6,21.6,21.6,21.6,15.0,1.0,2023-12-29T12:20:57.593,,,,1,2,Merck,T2,1,1
MSFT,"{'cantidadCompra': 91.0, 'precioCompra': 11714.5, 'precioVenta': 11779.0, 'cantidadVenta': 25.0}",11885.0,0.83,12249.0,12300.0,11626.5,11885.0,14533.0,1103.0,2023-12-29T13:46:14.637,,,,1,1,Microsoft,T2,1,1
MSFTC,,9.45,0.0,9.45,9.45,9.45,9.45,0.0,0.0,2023-12-29T02:59:59.94,,,,1,2,Microsoft,T2,1,1
MSFTD,"{'cantidadCompra': 185.0, 'precioCompra': 12.15, 'precioVenta': 12.45, 'cantidadVenta': 21.0}",12.3,-1.59,12.6,12.75,12.0,12.3,622.0,84.0,2023-12-29T13:43:18.003,,,,1,2,Microsoft,T2,1,1
MSI,"{'cantidadCompra': 100.0, 'precioCompra': 14693.0, 'precioVenta': 14957.0, 'cantidadVenta': 100.0}",14957.5,2.02,14514.0,15202.0,14514.0,14957.5,110.0,13.0,2023-12-29T13:43:48.477,,,,1,1,Motorola,T2,1,1
MSTR,"{'cantidadCompra': 1.0, 'precioCompra': 29600.0, 'precioVenta': 30280.0, 'cantidadVenta': 3.0}",30280.0,-3.25,31500.0,33850.0,29100.0,30280.0,1648.0,100.0,2023-12-29T13:41:31.44,,,,1,1,MicroStrategy Incorporated,T2,1,1
MSTRD,"{'cantidadCompra': 10.0, 'precioCompra': 12.55, 'precioVenta': 0.0, 'cantidadVenta': 0.0}",33.0,0.0,32.3,33.0,32.3,33.0,0.0,0.0,2023-12-29T03:00:05.11,,,,1,2,Microstrategy Incorporated,T2,1,1
MU,"{'cantidadCompra': 120.0, 'precioCompra': 16136.5, 'precioVenta': 16371.5, 'cantidadVenta': 120.0}",16372.0,0.22,16357.0,16913.0,16115.0,16372.0,331.0,11.0,2023-12-29T13:33:22.807,,,,1,1,"Micron Technology, Inc.",T2,1,1
MUD,,14.35,0.0,14.35,14.35,14.35,14.35,0.0,0.0,2023-12-29T03:00:14.653,,,,1,2,"Micron Technology, Inc.",T2,1,1
NEM,"{'cantidadCompra': 120.0, 'precioCompra': 13002.5, 'precioVenta': 13185.5, 'cantidadVenta': 2100.0}",12934.0,-1.26,13110.0,13110.0,12934.0,12934.0,49.0,3.0,2023-12-29T12:20:57.6,,,,1,1,Newmont Mining Corporation,T2,1,1
NEMD,,12.8,0.0,12.8,12.8,12.8,12.8,0.0,0.0,2023-12-28T03:00:27.61,,,,1,2,Newmont Mining Corporation,T2,1,1
NFLX,"{'cantidadCompra': 80.0, 'precioCompra': 28502.0, 'precioVenta': 28827.0, 'cantidadVenta': 1500.0}",28501.5,-1.62,28950.0,30200.0,28289.5,28501.5,726.0,111.0,2023-12-29T13:44:48.897,,,,1,1,Netflix,T2,1,1
NFLXD,"{'cantidadCompra': 2.0, 'precioCompra': 26.0, 'precioVenta': 30.6, 'cantidadVenta': 1.0}",30.25,0.0,30.0,30.25,28.9,30.25,0.0,0.0,2023-12-29T03:00:02.38,,,,1,2,Netflix,T2,1,1
NGG,"{'cantidadCompra': 40.0, 'precioCompra': 32046.5, 'precioVenta': 32437.0, 'cantidadVenta': 1140.0}",32419.5,2.9,32419.5,32419.5,32419.5,32419.5,2.0,1.0,2023-12-29T12:20:57.603,,,,1,1,National Grid,T2,1,1
NIO,"{'cantidadCompra': 7.0, 'precioCompra': 2090.5, 'precioVenta': 2139.0, 'cantidadVenta': 43.0}",2154.0,-2.06,2180.0,2298.5,2111.0,2154.0,68645.0,640.0,2023-12-29T13:46:20.297,,,,1,1,NIO INC.,T2,1,1
