	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	CLD	-	-	C.I.	-	-	-	-	334,000	334,000	-	-	-	-		
	COIN	4.970,000	5,38	C.I.	-	-	6.300,000	8	4.921,500	4.716,000	4.528,000	5.000,000	9.996.914	133	16:24:18	
	COINC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	COIND	5,350	33,08	C.I.	-	-	7,100	8	5,350	4,020	5,300	5,350	1.218	2	16:25:35	
	COST	11.462,000	3,26	C.I.	30	10.500,000	-	-	11.462,000	11.100,000	11.462,000	11.462,000	401.170	1	11:02:28	
	COSTB	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	CRM	11.700,000	-7,27	C.I.	100	'0,010	-	-	11.927,500	12.617,500	11.700,000	13.080,500	1.453.905	29	14:41:04	
	CRMB	-	-	C.I.	-	-	-	-	6.022,500	6.022,500	-	-	-	-		
	CSCO	9.099,000	9,64	C.I.	15	8.350,000	9.090,000	10	9.052,500	8.298,500	7.884,000	9.250,000	1.774.675	27	16:12:13	
	CSCOC	-	-	C.I.	-	-	-	-	9,640	9,640	-	-	-	-		
	CSCOD	-	-	C.I.	-	-	-	-	11,050	11,050	-	-	-	-		
	CVX	16.779,000	4,67	C.I.	-	-	18.000,000	100	16.507,000	16.029,000	16.009,500	17.000,000	5.909.292	102	16:28:00	
	CVXD	17,150	4,57	C.I.	2	17,700	18,450	19	-	16,400	16,550	17,150	118	3	13:42:16	
	CX	-	-	C.I.	-	-	-	-	6.000,000	6.000,000	-	-	-	-		
	DD	-	-	C.I.	8	12.150,000	-	-	12.000,000	12.000,000	-	-	-	-		
	DDC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	DE	7.952,000	-0,90	C.I.	3	7.601,500	-	-	7.952,000	8.025,000	7.951,000	8.425,000	826.897	26	15:36:36	
	DEC	-	-	C.I.	-	-	-	-	8,945	8,945	-	-	-	-		
	DEO	21.000,000	4,47	C.I.	-	-	-	-	21.066,500	20.100,000	21.000,000	22.000,000	107.200	3	14:59:17	
	DESP	7.710,000	5,79	C.I.	-	-	-	-	7.682,000	7.288,000	7.357,500	7.710,000	1.063.159	25	16:20:06	
	DESPD	-	-	C.I.	20	7,790	-	-	-	8,500	-	-	-	-		
	DIA	16.644,000	2,27	C.I.	-	-	16.917,000	3	16.710,500	16.273,000	15.601,500	16.770,000	61.153.522	475	16:29:19	
	DIAB	-	-	C.I.	-	-	-	-	13.477,000	13.477,000	-	-	-	-		
	DIAC	-	-	C.I.	-	-	-	-	-	14,806	-	-	-	-		
	DIAD	18,050	1,40	C.I.	-	-	23,000	4	18,050	17,800	17,850	18,050	2.024	8	14:36:48	
	DISN	7.100,000	4,10	C.I.	1	5.800,000	37.500,000	1	7.090,500	6.820,000	6.500,000	7.197,500	18.734.543	334	16:28:16	
	DISND	7,530	-1,95	C.I.	-	-	8,550	24	7,540	7,680	7,520	7,990	1.713	10	15:23:39	
	DJN3B	-	-	C.I.	-	-	-	-	276,000	276,000	-	-	-	-		
	DJN3C	-	-	C.I.	-	-	-	-	1,200	1,200	-	-	-	-		
	DJN3D	-	-	C.I.	-	-	-	-	1,170	1,170	-	-	-	-		
	DJNJ2	-	-	C.I.	-	-	-	-	787,500	787,500	-	-	-	-		
	DJNJ3	-	-	C.I.	-	-	-	-	1.066,000	1.066,000	-	-	-	-		
	DOCU	1.870,000	1,08	C.I.	-	-	2.127,000	2	1.870,000	1.850,000	1.850,000	1.870,000	536.680	5	11:49:06	
	DOCUD	-	-	C.I.	-	-	-	-	-	2,350	-	-	-	-		
	DOW	7.160,500	-1,30	C.I.	1.000	'0,010	-	-	7.160,500	7.255,000	7.069,500	7.160,500	57.102	2	12:49:53	
	DOWC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	DTEA	-	-	C.I.	-	-	-	-	'0,010	'0,010	-	-	-	-		
	E	-	-	C.I.	-	-	-	-	8.500,000	8.500,000	-	-	-	-		
	EA	8.900,000	1,71	C.I.	-	-	9.050,000	17	8.900,000	8.750,000	8.800,000	8.900,000	115.000	7	16:17:31	
	EAC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	EAD	-	-	C.I.	-	-	-	-	-	9,300	-	-	-	-		
	EBAY	18.500,000	1,09	C.I.	-	-	-	-	18.421,500	18.300,000	17.800,000	18.505,500	202.213	8	14:31:39	
	EBAYD	-	-	C.I.	-	-	-	-	-	23,750	-	-	-	-		
	EBR	-	-	C.I.	-	-	-	-	26.741,000	26.741,000	-	-	-	-		
	EEM	7.238,500	4,36	C.I.	-	-	-	-	7.238,000	6.935,500	6.854,000	7.407,000	2.356.991	52	16:21:06	
	EEMC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	EEMD	-	-	C.I.	-	-	-	-	7,950	7,950	-	-	-	-		
	EFX	-	-	C.I.	-	-	-	-	10.876,364	10.876,364	-	-	-	-		
	EFXC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	EFXD	-	-	C.I.	-	-	-	-	-	10,576	-	-	-	-		
	ELP	-	-	C.I.	-	-	-	-	590,613	590,613	-	-	-	-		
	EOAN	-	-	C.I.	-	-	-	-	-	'0,010	-	-	-	-		
	EOANB	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	EOANC	-	-	C.I.	-	-	-	-	'0,010	'0,010	-	-	-	-		
	ERIC	2.560,000	'0,37	C.I.	13	2.420,000	2.560,000	3	2.560,000	2.550,500	2.475,000	2.560,000	35.670	3	12:49:48	
	ERJ	17.800,000	7,22	C.I.	-	-	-	-	17.800,000	16.600,000	17.800,000	17.800,000	17.800	1	12:31:24	
	ETSY	4.245,000	2,63	C.I.	-	-	-	-	4.245,000	4.136,000	4.222,000	4.294,500	106.634	3	13:04:59	
	ETSYC	-	-	C.I.	-	-	-	-	-	12,000	-	-	-	-		
	ETSYD	-	-	C.I.	-	-	-	-	6,680	6,680	-	-	-	-		
	EWZ	15.265,000	5,58	C.I.	1	15.200,000	15.745,000	18	15.265,000	14.458,000	15.044,500	15.777,000	2.414.389	35	16:02:22	
	EWZD	-	-	C.I.	-	-	-	-	16,350	16,350	-	-	-	-		
	F	9.900,000	6,38	C.I.	2	9.720,000	10.058,000	11	9.900,000	9.305,500	9.600,000	10.298,000	2.030.767	33	16:06:01	
	FC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	FCX	-	-	C.I.	-	-	11.400,000	1	11.548,000	11.548,000	-	-	-	-		
	FD	-	-	C.I.	-	-	-	-	10,000	10,000	-	-	-	-		
	FDX	-	-	C.I.	-	-	-	-	21.500,000	21.500,000	-	-	-	-		
	FDXD	-	-	C.I.	-	-	32,000	1	28,774	28,774	-	-	-	-		
	FMX	-	-	C.I.	-	-	-	-	17.000,000	17.000,000	-	-	-	-		
	FMXC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	FSLR	45.100,000	4,86	C.I.	1	44.050,000	45.157,500	1	45.100,000	43.007,500	45.100,000	45.100,000	45.100	1	16:12:49	
	FSLRC	-	-	C.I.	-	-	-	-	49,900	49,900	-	-	-	-		
	GE	13.890,000	-1,41	C.I.	-	-	-	-	13.890,000	14.090,000	13.840,000	14.450,000	111.590	6	15:43:58	
	GE..B	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	GEC	-	-	C.I.	-	-	-	-	13,100	13,100	-	-	-	-		
	GED	-	-	C.I.	-	-	-	-	13,350	13,350	-	-	-	-		
	GED.B	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	GFI	-	-	C.I.	-	-	-	-	-	12.950,000	-	-	-	-		
	GGB	16.600,000	'0,60	C.I.	-	-	-	-	16.600,000	16.500,000	16.485,000	16.600,000	149.285	4	14:58:53	
	GILD	18.651,000	4,78	C.I.	-	-	-	-	18.651,000	17.800,000	18.400,000	18.651,000	111.153	3	14:21:55	
	GILDD	23,000	-	C.I.	-	-	-	-	23,000	23,000	23,000	23,000	322	1	11:47:09	
	GLOB	11.330,000	3,14	C.I.	-	-	-	-	11.307,000	10.985,000	10.757,000	11.388,000	3.895.945	72	16:29:48	
	GLOBD	-	-	C.I.	2	12,000	12,700	22	11,500	11,500	-	-	-	-		
	GLW	-	-	C.I.	-	-	-	-	4.627,000	4.627,000	-	-	-	-		
	GM	5.284,000	7,00	C.I.	-	-	-	-	5.282,500	4.938,000	5.050,000	5.284,000	1.832.790	12	16:01:24	
	GMC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
