symbol,symbol_arg,symbol_arg_usd,ratio,include
MBG,MBG,MBGD,4,FALSE
MBG GR,MBG GR,MBG GRD,4,FALSE
MBT,MBT,MBTD,2,FALSE
MCD,MCD,MCDD,24,TRUE
MDT,MDT,MDTD,4,FALSE
MELI,MELI,MELID,60,TRUE
META,META,METAD,24,FALSE
MFG,MFG,MFGD,1,FALSE
MMC,MMC,MMCD,16,FALSE
MMM,MMM,MMMD,5,TRUE
MO,MO,MOD,4,TRUE
MOS,MOS,MOSD,5,FALSE
MRK,MRK,MRKD,5,FALSE
MSFT,MSFT,MSFTD,30,TRUE
MSI,MSI,MSID,20,FALSE
MSTR,MSTR,MSTRD,20,FALSE
MU,MU,MUD,5,FALSE
MUFG,MUFG,MUFGD,1,FALSE
N/A,PCRF,PCRFD,2,FALSE
NEC1 GR,NEC1 GR,NEC1 GRD,0.333333333,FALSE
NEM,NEM,NEMD,3,TRUE
NFLX,NFLX,NFLXD,16,TRUE
NG,NG,NGD,0.25,FALSE
NGG,NGG,NGGD,2,FALSE
NIO,NIO,NIOD,4,TRUE
NKE,NKE,NKED,12,TRUE
NLM,NLM,NLMD,2,FALSE
NLMK LI,NLMK LI,NLMK LID,2,FALSE
NMR,NMR,NMRD,1,FALSE
NOK,NOK,NOKD,1,FALSE
NOKA,NOKA,NOKAD,1,FALSE
NSAN,NSAN,NSAND,1,FALSE
NSANY,NSANY,NSANYD,1,FALSE
NTCO,NTCO,NTCOD,1,FALSE
NTES,NTES,NTESD,14,FALSE
NUE,NUE,NUED,16,FALSE
NVDA,NVDA,NVDAD,24,TRUE
NVS,NVS,NVSD,4,FALSE
OGZD,OGZD,OGZDD,2,FALSE
ORAN,ORAN,ORAND,1,FALSE
ORCL,ORCL,ORCLD,3,FALSE
OXY,OXY,OXYD,5,TRUE
PAAS,PAAS,PAASD,3,TRUE
PAC,PAC,PACD,16,FALSE
PANW,PANW,PANWD,50,FALSE
PBI,PBI,PBID,1,FALSE
PBR,PBR,PBRD,1,TRUE
PCRFY,PCRFY,N/A,2,FALSE
PEP,PEP,PEPD,6,TRUE
PFE,PFE,PFED,2,TRUE
PG,PG,PGD,5,TRUE
PHG,PHG,PHGD,5,FALSE
PKS,PKS,N/A,3,FALSE
PKX,PKX,PKXD,3,FALSE
PSO,PSO,PSOD,1,FALSE
PSX,PSX,PSXD,6,FALSE
PTRCY,PTRCY,PTRCYD,4,FALSE
PYPL,PYPL,PYPLD,8,TRUE
QCOM,QCOM,QCOMD,11,TRUE
QQQ,QQQ,QQQD,20,TRUE
RBLX,RBLX,RBLXD,2,FALSE
RIO,RIO,RIOD,4,TRUE
ROST,ROST,ROSTD,4,FALSE
RTX,RTX,RTXD,5,TRUE
SAN,SAN,SAND,0.25,FALSE
SAP,SAP,SAPD,6,FALSE
SATL,SATL,SATLD,1,TRUE
SBS,SBS,SBSD,0.5,FALSE
SBUX,SBUX,SBUXD,4,FALSE
SCCO,SCCO,SCCOD,2,FALSE
SE,SE,SED,32,FALSE
SHEL,SHEL,SHELD,2,TRUE
SHOP,SHOP,SHOPD,107,TRUE
SI,SI,SID,10,FALSE
SID,SID,SIDD,0.125,FALSE
SIEGY,SIEGY,SIEGYD,3,FALSE
SLB,SLB,SLBD,3,FALSE
SMSN,SMSN,N/A,14,FALSE
SMSN LI,SMSN LI,SMSN LID,14,FALSE
SNA,SNA,SNAD,6,FALSE
SNAP,SNAP,SNAPD,1,FALSE
SNOW,SNOW,SNOWD,30,TRUE
SONY,SONY,SONYD,4,FALSE
SPGI,SPGI,SPGID,45,TRUE
SPOT,SPOT,SPOTD,28,TRUE
SPY,SPY,SPYD,20,TRUE
SQ,SQ,SQD,20,TRUE
SUZ,SUZ,SUZD,1,FALSE
SYY,SYY,N/A,8,FALSE
T,T,TD,3,TRUE
TCOM,TCOM,TCOMD,2,FALSE
TEF,TEF,TEFD,8,FALSE
TEFO,TEFO,TEFOD,8,FALSE
TEFOF,TEFO,N/A,8,FALSE
TEN,TEN,TEND,1,FALSE
TGT,TGT,TGTD,24,TRUE
TIIAY,TIIAY,TIIAYD,1,FALSE
TIMB,TIMB,TIMBD,1,FALSE
TM,TM,TMD,5,TRUE
TMO,TMO,TMOD,22,FALSE
TRIP,TRIP,TRIPD,2,FALSE
TRV,TRV,TRVD,6,FALSE
TS,TS,TSD,1,FALSE
TSLA,TSLA,TSLAD,15,TRUE
TSM,TSM,TSMD,9,TRUE
TTE,TTE,TTED,3,FALSE
TTM,TTM,TTMD,1,FALSE
TV,TV,TVD,3,FALSE
TWLO,TWLO,TWLOD,36,FALSE
TX,TX,TXD,2,FALSE
TXN,TXN,TXND,5,TRUE
TXR,TXR,TXRD,2,FALSE
UAL,UAL,UALD,5,FALSE
UBER,UBER,UBERD,2,TRUE
UGP,UGP,UGPD,1,FALSE
UL,UL,ULD,3,TRUE
UNH,UNH,UNHD,33,TRUE
UNP,UNP,UNPD,20,FALSE
UPST,UPST,UPSTD,5,TRUE
URBN,URBN,URBND,2,FALSE
USB,USB,USBD,5,FALSE
V,V,VD,18,TRUE
VALE,VALE,VALED,2,TRUE
VIST,VIST,VISTD,1,TRUE
VIV,VIV,VIVD,1,FALSE
VOD,VOD,VODD,1,FALSE
VRSN,VRSN,VRSND,6,FALSE
VZ,VZ,VZD,2,TRUE
WB,WB,WBD,6,FALSE
WBA,WBA,WBAD,3,TRUE
WBO,WBO,WBOD,6,FALSE
WFC,WFC,WFCD,5,TRUE
WMT,WMT,WMTD,6,TRUE
X,X,XD,3,TRUE
XLE,XLE,XLED,2,TRUE
XLF,XLF,XLFD,2,TRUE
XOM,XOM,XOMD,5,TRUE
XP,XP,XPD,4,TRUE
XRX,XROX,XROXD,1,FALSE
YELP,YELP,YELPD,2,FALSE
YY,YY,YYD,5,FALSE
YZCAY,YZCAY,YZCAYD,2,FALSE
ZM,ZM,ZMD,47,TRUE
